step,energy,avg_error,long_links,self_aware,total_activity,total_weights,generation,perception_conflict
46,2020.886590931281,0.03801183389365768,4,0,438,3789.0886917792186,1,1.0
47,2057.8708309462954,0.038105228968068006,4,0,438,3841.3670346790573,1,1.0
48,2086.806650438115,0.03818012001828175,4,0,438,3893.5932877329765,1,1.0
49,2115.6479934716904,0.03842065632489087,4,0,438,3945.7675032193188,1,1.0
50,2148.519840176517,0.03832907784088792,4,0,438,3997.8897333643404,1,1.0
51,2184.2594348872567,0.038547333227823895,4,0,438,4049.960030342255,1,1.0
52,2217.046328226404,0.03838540027346345,4,0,438,4101.978446275292,1,1.0
53,2245.793227546609,0.03818572645863233,4,0,438,4153.94503323375,1,1.0
54,2276.4724634385466,0.03805039511842607,4,0,438,4205.859843236044,1,1.0
55,2306.0756022317305,0.038005860450878164,4,0,438,4257.7229282487615,1,1.0
56,2338.60487155261,0.03803913598914891,4,0,438,4309.534340186711,1,1.0
57,2371.0816041327284,0.03807387658301097,4,0,438,4361.294130912979,1,1.0
58,2404.5342705101275,0.038015329759202,4,0,438,4413.002352238978,1,1.0
59,2436.9879509657553,0.037783872649408544,4,0,438,4464.659055924496,1,1.0
60,2464.3271672112573,0.03776443894459423,4,0,438,4516.2642936777565,1,1.0
61,2495.6784292979,0.03754217210957002,4,0,438,4567.818117155464,1,1.0
62,2529.9580358409985,0.03739063478109001,4,0,438,4619.320577962854,1,1.0
63,2556.0917083189606,0.03753713637063692,4,0,438,4670.771727653751,1,1.0
64,2591.16345223613,0.03771057739927835,4,0,438,4722.171617730617,1,1.0
65,2628.21160269637,0.03779519404315379,4,0,438,4773.5202996446,1,1.0
66,2656.1716757293602,0.03798590746577466,4,0,438,4824.81782479559,1,1.0
67,2687.1563932645363,0.03795010473693688,4,0,438,4876.06424453227,1,1.0
68,2715.1740715288056,0.03767330751796671,4,0,438,4927.259610152165,1,1.0
69,2743.10979993078,0.03749191730492196,4,0,438,4978.403972901694,1,1.0
70,2777.01463771385,0.03725929280051856,4,0,438,5029.497383976222,1,1.0
71,2807.7549882534386,0.03734544328116831,4,0,438,5080.539894520114,1,1.0
72,2842.560434546529,0.0371138194940257,4,0,438,5131.531555626779,1,1.0
73,2877.295245501086,0.036941375612345506,4,0,438,5182.47241833873,1,1.0
74,2909.9011198192125,0.03697968600796604,4,0,438,5233.362533647624,1,1.0
75,2945.425881432473,0.037096157140338135,4,0,438,5284.201952494328,1,1.0
76,2975.9596683024497,0.03705552400967064,4,0,438,5334.990725768954,1,1.0
77,3010.4773238338603,0.036927970979335464,4,0,438,5385.728904310924,1,1.0
78,3036.8959804571427,0.03692485958451025,4,0,438,5436.416538909009,1,1.0
79,3066.1836446823277,0.03712084161791791,4,0,438,5487.053680301388,1,1.0
80,3101.5326362529754,0.03703841731677345,4,0,438,5537.640379175696,1,1.0
81,3131.8536540171026,0.03690333730271225,4,0,438,5588.176686169073,1,1.0
82,3161.1670135846452,0.036669071857016886,4,0,438,5638.662651868222,1,1.0
83,3188.3703800526528,0.03658104619869873,4,0,438,5689.098326809444,1,1.0
84,3219.4031755811952,0.03677478990217728,4,0,438,5739.483761478709,1,1.0
85,3248.400543010712,0.036929984472638906,4,0,438,5789.819006311691,1,1.0
86,3278.3745593546037,0.037020336880387576,4,0,438,5840.104111693823,1,1.0
87,3307.2971885167653,0.03711153767849252,4,0,438,5890.339127960352,1,1.0
88,3340.1879788500546,0.037159471315572117,4,0,438,5940.524105396382,1,1.0
89,3368.9888918365555,0.03729390814451543,4,0,438,5990.659094236931,1,1.0
90,3397.8358899279347,0.037216002615423294,4,0,438,6040.744144666974,1,1.0
91,3424.5918268008154,0.03722818023211772,4,0,438,6090.779306821502,1,1.0
92,3449.3390444910715,0.0371520877730152,4,0,438,6140.764630785564,1,1.0
93,3477.0966705757123,0.03695033557145591,4,0,438,6190.7001665943235,1,1.0
94,3507.787883664989,0.036787245687501594,4,0,438,6240.585964233103,1,1.0
95,3537.433392068479,0.036619222493206705,4,0,438,6290.422073637439,1,1.0
96,3561.94413894934,0.036628275919585424,4,0,438,6340.20854469313,1,1.0
97,3585.491940523952,0.03646135618804535,4,0,438,6389.945427236282,1,1.0
98,3613.9606200716735,0.03635696030755365,4,0,438,6439.632771053371,1,1.0
99,3633.4159014424454,0.0381678703898161,4,0,438,6489.270625881275,1,1.0
100,3655.6051218600687,0.03878772794907141,4,0,438,6538.8590414073415,1,1.0
101,3680.852862525339,0.03873037960851685,4,0,438,6588.398067269423,1,1.0
102,3706.1121148538864,0.038595883147863316,4,0,438,6637.887753055937,1,1.0
103,3730.322466693094,0.03850763065303735,4,0,438,6687.328148305906,1,1.0
104,3754.5073102637557,0.038483998824336105,4,0,438,6736.71930250902,1,1.0
105,3779.635537470835,0.03817311045401723,4,0,438,6786.061265105672,1,1.0
106,3808.6965391560525,0.03795494933485804,4,0,438,6835.354085487014,1,1.0
