step,energy,avg_error,long_links,self_aware,total_activity,total_weights,generation,perception_conflict
42,5739.200130032862,0.0,2,0,423,3444.681299774813,1,0.0
43,5866.14653795986,0.0,2,0,423,3493.592073001682,1,0.0
44,5993.044083800071,0.0,2,0,423,3542.4541597893076,1,0.0
45,6119.892816191023,0.0,2,0,423,3591.267609048462,1,0.0
46,6246.692783721382,0.0,2,0,423,3640.0324696412345,1,0.0
47,6373.444034931001,0.0,2,0,423,3688.7487903810725,1,0.0
48,6500.146618310968,0.0,2,0,423,3737.416620032837,1,0.0
49,6626.800582303655,0.0,2,0,423,3786.0360073128486,1,0.0
50,6753.405975302766,0.0,2,0,423,3834.607000888936,1,0.0
51,6879.962845653386,0.0,2,0,423,3883.129649380488,1,0.0
52,7006.471241652027,0.0,2,0,423,3931.604001358498,1,0.0
53,7132.931211546681,0.0,2,0,423,3980.030105345614,1,0.0
54,7259.342803536865,0.0,2,0,423,4028.408009816188,1,0.0
55,7385.706065773669,0.0,2,0,423,4076.737763196324,1,0.0
56,7512.021046359805,0.0,2,0,423,4125.019413863927,1,0.0
57,7638.287793349657,0.0,2,0,423,4173.25301014875,1,0.0
58,7764.506354749324,0.0,2,0,423,4221.4386003324435,1,0.0
59,7890.676778516675,0.0,2,0,423,4269.576232648604,1,0.0
60,8016.799112561392,0.0,2,0,423,4317.665955282821,1,0.0
61,8142.873404745019,0.0,2,0,423,4365.707816372727,1,0.0
62,8268.89970288101,0.0,2,0,423,4413.701864008047,1,0.0
63,8394.87805473478,0.0,2,0,423,4461.648146230637,1,0.0
64,8520.808508023745,0.0,2,0,423,4509.546711034551,1,0.0
65,8646.69111041738,0.0,2,0,423,4557.397606366067,1,0.0
66,8772.525909537257,0.0,2,0,423,4605.20088012375,1,0.0
67,8898.312952957098,0.0,2,0,423,4652.956580158496,1,0.0
68,9024.052288202824,0.0,2,0,423,4700.664754273579,1,0.0
69,9149.743962752598,0.0,2,0,423,4748.3254502247,1,0.0
70,9275.388024036878,0.0,2,0,423,4795.938715720032,1,0.0
71,9400.984519438458,0.0,2,0,423,4843.50459842027,1,0.0
72,9526.533496292519,0.0,2,0,423,4891.0231459386805,1,0.0
73,9652.035001886677,0.0,2,0,423,4938.4944058411465,1,0.0
74,9777.48908346103,0.0,2,0,423,4985.918425646214,1,0.0
75,9902.895788208205,0.0,2,0,423,5033.295252825146,1,0.0
76,10028.255163273403,0.0,2,0,423,5080.624934801961,1,0.0
77,10153.56725575445,0.0,2,0,423,5127.907518953483,1,0.0
78,10278.83211270184,0.0,2,0,423,5175.143052609397,1,0.0
79,10404.049781118789,0.0,2,0,423,5222.331583052289,1,0.0
80,10529.220307961272,0.0,2,0,423,5269.473157517688,1,0.0
81,10654.343740138078,0.0,2,0,423,5316.567823194127,1,0.0
82,10779.420124510854,0.0,2,0,423,5363.615627223182,1,0.0
83,10904.449507894155,0.0,2,0,423,5410.616616699516,1,0.0
84,11029.431937055484,0.0,2,0,423,5457.570838670934,1,0.0
85,11154.367458715345,0.0,2,0,423,5504.478340138426,1,0.0
86,11279.25611954729,0.0,2,0,423,5551.339168056213,1,0.0
87,11404.097966177958,0.0,2,0,423,5598.153369331795,1,0.0
88,11528.893045187133,0.0,2,0,423,5644.920990826004,1,0.0
89,11653.64140310778,0.0,2,0,423,5691.642079353039,1,0.0
90,11778.343086426099,0.0,2,0,423,5738.316681680521,1,0.0
91,11902.99814158157,0.0,2,0,423,5784.944844529538,1,0.0
92,12027.606614966995,0.0,2,0,423,5831.526614574696,1,0.0
93,12152.168552928551,0.0,2,0,423,5878.0620384441545,1,0.0
94,12276.684001765832,0.0,2,0,423,5924.551162719683,1,0.0
95,12401.153007731895,0.0,2,0,423,5970.994033936707,1,0.0
96,12525.57561703331,0.0,2,0,423,6017.390698584351,1,0.0
97,12649.951875830204,0.0,2,0,423,6063.741203105486,1,0.0
98,12774.281830236307,0.0,2,0,423,6110.045593896777,1,0.0
99,12896.349901123678,0.0021875,2,0,428,6156.304112628131,1,1.0
